tweet_id,user_id,user_name,created_at,text,full_text,retweets,favorite
1313691084464295937,1550112745,DebdutiS,Wed Oct 07 04:02:16 +0000 2020,"Late Submission for Makeover Monday Week39. I had lots of learning with this one.
Some great lessons learnt from… https://t.co/MeAOdPTREH","Late Submission for Makeover Monday Week39. I had lots of learning with this one.
Some great lessons learnt from @VizWizBI and @datavizlinds . Here goes my attempt at visualizing Child Marriage stats.#66daysofdata day Day6. @TriMyData @CharlieHTableau 
https://t.co/eN3eUUDPI9",0,1
1313685966989606912,321754887,nathanorenstein,Wed Oct 07 03:41:56 +0000 2020,"Day 9 of #66DaysOfData! 

Started doing some exploration on my data set. I'm finding I really need to review visual… https://t.co/ZqPIvH37e4","Day 9 of #66DaysOfData! 

Started doing some exploration on my data set. I'm finding I really need to review visualization basics, it's been a while lol",0,2
1313685666610524160,1247769181002403841,ahanawrites,Wed Oct 07 03:40:44 +0000 2020,Day 36 of #66daysofdata: Overfitting occurs in machine learning when a model learns/fits the training data too well… https://t.co/3JIan7lCwl,"Day 36 of #66daysofdata: Overfitting occurs in machine learning when a model learns/fits the training data too well, but cannot generalize to unseen (test) data. Common solutions for overfitting include regularization and validation.",0,3
1313676217984442369,1301248170022838274,hannahleblancm,Wed Oct 07 03:03:11 +0000 2020,"Day 23 / #66daysofdata 

I read this state of AI report https://t.co/zUGWihZA2c very very interesting!!  I signed u… https://t.co/OwBXNMzUJ1","Day 23 / #66daysofdata 

I read this state of AI report https://t.co/zUGWihZA2c very very interesting!!  I signed up for the Data Elixir subscription a few months ago and this report was in this week’s email 👍",0,7
1313675868426760198,1299906732169162752,animesharma3,Wed Oct 07 03:01:48 +0000 2020,"Day 29, 30, 31 of #66daysofdata
Started learning about recommendation systems, finished with theory of RNN, LSTM, G… https://t.co/7gAXnrb7xp","Day 29, 30, 31 of #66daysofdata
Started learning about recommendation systems, finished with theory of RNN, LSTM, GRU, working on anime recommender project, watched some data science guidance videos, worked on my resume, did sentiment analysis on stock price news headlines data.",0,4
1313675033299087360,1301248170022838274,hannahleblancm,Wed Oct 07 02:58:29 +0000 2020,"Day 22 / #66daysofdata 

Finally finished up week 4 of NYU’s Coursera course, Guided Tour of Machine Learning in Fi… https://t.co/G8sqODjcCx","Day 22 / #66daysofdata 

Finally finished up week 4 of NYU’s Coursera course, Guided Tour of Machine Learning in Finance. I’m not sure if I’m going to finish the specialization, I have my eye on some other probability and stats courses...",2,10
1313673746947936258,57376896,robertlazo,Wed Oct 07 02:53:22 +0000 2020,Day #36 of #66DaysOfData  Continued data manipulation with dplyr on DataCamp.,None,0,10
1313673559663755265,1233042872393437184,MissionOROP2020,Wed Oct 07 02:52:38 +0000 2020,"@thetribunechd @BigDataBigData
#66daysofdata
#blogging
#DigitalSoldier
#SpaceForce
#VeteranStrong
#CodeNewbie… https://t.co/vZRRJxq0bL","@thetribunechd @BigDataBigData
#66daysofdata
#blogging
#DigitalSoldier
#SpaceForce
#VeteranStrong
#CodeNewbie #javascript #bot #DataScience #webdev #100DaysOfCode #301DaysOfCode #bot #bote #DataAnalytics #Coding 
#a11y #codinglife #bote
#CodeNewbie #javascript #maps #DataScience https://t.co/ZGA0HieaaS",1,3
1313670442259902464,126231516,JohannPiedras,Wed Oct 07 02:40:14 +0000 2020,Today I had a client meeting but afterwards I finished the Applied Plotting class in Coursera using Python. Might r… https://t.co/GwHmh5100D,Today I had a client meeting but afterwards I finished the Applied Plotting class in Coursera using Python. Might redo the assignments using R 🤔 Day 36 of #66daysofdata #100DaysOfCode https://t.co/a8l6FPDQbf,6,6
1313668960148172801,1283159305458536453,STrupti4,Wed Oct 07 02:34:21 +0000 2020,"Day 23 of #66daysofdata !!
Read an article on Python Data Structure and Algorithm.",None,0,8
1313668251466035202,4790572463,SalsaLeader,Wed Oct 07 02:31:32 +0000 2020,Day 37: data dictionary  #66daysofdata,None,0,1
1313666166670360578,1008778640,Alepipi78,Wed Oct 07 02:23:15 +0000 2020,"Day 36 of #66daysofdata
-learn hive for Hadoop",None,0,2
1313655058253443072,1062791913059872769,MarouaManal,Wed Oct 07 01:39:07 +0000 2020,Day 33 #66daysofdata as I get half through this challenge I decided to prepare a roadmap of what I want to study ne… https://t.co/Ephar29OwA,"Day 33 #66daysofdata as I get half through this challenge I decided to prepare a roadmap of what I want to study next! Plus, I started reading chap 4 of Hands-on ML. I also discovered a super cool way to learn git by playing a game! https://t.co/XOZrLsiFND @KenJee_DS",0,17
